Position ID,Entry Date,Entry Time,Exit Date,Exit Time,Ticker,Type,Strategy,Strike,Expiry,Contracts,Entry Price,Fees,Exit Price,Contract High
SPY-740-0514,01/15/2026,,01/15/2026,,SPY,C,Sell to Close,740,05/14/2026,5,1.40,0.24,1.45,
SPY-740-0514,01/15/2026,,01/15/2026,,SPY,C,Sell to Close,740,05/14/2026,1,1.40,0.06,1.75,
SPY-740-0514,01/15/2026,,01/15/2026,,SPY,C,Sell to Close,740,05/14/2026,3,1.40,0.14,1.45,
SPY-740-0514,01/15/2026,,,,SPY,C,Long Call,740,05/14/2026,1,1.40,0.04,,
NVDA-210-0508,01/15/2026,,,,NVDA,C,Long Call,210,05/08/2026,2,1.45,0.08,,
ORCL-300-0618,01/15/2026,,,,ORCL,C,Long Call,300,06/18/2026,5,0.98,0.20,,
ANET-145-0515,01/15/2026,,,,ANET,C,Long Call,145,05/15/2026,1,3.80,0.04,,
IREN-70-0508,01/15/2026,,,,IREN,C,Long Call,70,05/08/2026,1,1.14,0.04,,
MU-800-0515,01/15/2026,,,,MU,C,Long Call,800,05/15/2026,1,4.20,0.04,,
IREN-65-0508,01/15/2026,,,,IREN,C,Long Call,65,05/08/2026,1,2.30,0.04,,
